################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: yyx
#     Report Created on: Fri Sep 15 10:17:48 2023
#     Working Directory: /media/yyx/B63E46DF3E46986F/new_proj/sha256/spyglass
#     Report Location  : ./sha256/sha256/adv_lint/adv_lint_verify/spyglass_reports/auto-verify/Uninitialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : auto-verify(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH
#RuleName:Av_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
1,sha256.u_sync_fifo.mem[0:479],sync_fifo,-,-,-,0,X,no,sha256.clk,NULL
2,sha256.u_sync_fifo.mem[480:511],sync_fifo,-,-,-,X,X,no,sha256.clk,NULL
3,sha256.u_sha256_axir.axi_addr[1:0],sha256_axir,-,-,-,0,-,no,NULL,NULL
4,sha256.u_sha256_axir.axi_addr[31:2],sha256_axir,-,-,-,0,X,no,sha256.clk,NULL
5,sha256.u_sha256_axir.blk_len[31:0],sha256_axir,-,-,-,0,X,no,sha256.clk,NULL
6,sha256.u_sha256_axir.cmd0_len[3:0],sha256_axir,-,-,-,0,X,no,sha256.clk,NULL
7,sha256.u_sha256_axir.cmd1_len[3:0],sha256_axir,-,-,-,0,X,no,sha256.clk,NULL
8,sha256.u_sha256_axir.cross_4kb,sha256_axir,-,-,-,0,X,no,sha256.clk,NULL
9,sha256.u_sha256_core.u_loop.a[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
10,sha256.u_sha256_core.u_loop.b[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
11,sha256.u_sha256_core.u_loop.c[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
12,sha256.u_sha256_core.u_loop.d[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
13,sha256.u_sha256_core.u_loop.e[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
14,sha256.u_sha256_core.u_loop.f[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
15,sha256.u_sha256_core.u_loop.g[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
16,sha256.u_sha256_core.u_loop.h[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
17,sha256.u_sha256_core.u_w_reg.w_mem[0:511],sha256_w_reg,-,-,-,0,X,no,sha256.clk,NULL
18,sha256.u_sha256_core.u_k_lut.k_lut[31:0],sha256_k_lut,-,-,-,0,-,no,sha256.clk,NULL
19,sha256.u_sha256_core.u_loop.h0[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
20,sha256.u_sha256_core.u_loop.h1[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
21,sha256.u_sha256_core.u_loop.h2[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
22,sha256.u_sha256_core.u_loop.h3[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
23,sha256.u_sha256_core.u_loop.h4[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
24,sha256.u_sha256_core.u_loop.h5[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
25,sha256.u_sha256_core.u_loop.h6[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
26,sha256.u_sha256_core.u_loop.h7[31:0],sha256_loop,-,-,-,0,X,no,sha256.clk,NULL
