################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: yyx
#     Report Created on: Fri Sep 15 10:17:21 2023
#     Working Directory: /media/yyx/B63E46DF3E46986F/new_proj/sha256/spyglass
#     Report Location  : ./sha256/sha256/lint/lint_functional_rtl/spyglass_reports/auto-verify/Initialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : auto-verify(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Initialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH01
#RuleName:Av_initstate01
ID,Sequentail Element Name,Initial Value,Initialization phase,Clock Name,Reset Name
1,sha256.u_sha256_cfg.axi_bulk_end_d,1,After Primary Set/Reset,sha256.clk,sha256.rstn
2,sha256.u_sha256_flow_ctl.sta,0,After Primary Set/Reset,sha256.clk,sha256.rstn
3,sha256.u_sha256_flow_ctl.fir_blk,1,After Primary Set/Reset,sha256.clk,sha256.rstn
4,sha256.u_sync_fifo.rd_ptr[4:0],00000,After Primary Set/Reset,sha256.clk,sha256.rstn
5,sha256.u_sync_fifo.wr_ptr[4:0],00000,After Primary Set/Reset,sha256.clk,sha256.rstn
6,sha256.u_sha256_axir.sta[1:0],00,After Primary Set/Reset,sha256.clk,sha256.rstn
7,sha256.u_sha256_axir.blk_osd_cmd[1:0],00,After Primary Set/Reset,sha256.clk,sha256.rstn
8,sha256.u_sha256_core.u_loop.cal_nxt_48,0,After Primary Set/Reset,sha256.clk,sha256.rstn
9,sha256.u_sha256_core.u_loop.cal_en_d[2:0],000,After Primary Set/Reset,sha256.clk,sha256.rstn
10,sha256.u_sha256_core.u_loop.loop_cnt[5:0],000000,After Primary Set/Reset,sha256.clk,sha256.rstn
11,sha256.u_sha256_cfg.prdata[31:0],00000000000000000000000000000000,After Primary Set/Reset,sha256.clk,sha256.rstn
12,sha256.u_sha256_cfg.intr,0,After Primary Set/Reset,sha256.clk,sha256.rstn
13,sha256.u_sha256_cfg.cfg_blk_sof,0,After Primary Set/Reset,sha256.clk,sha256.rstn
14,sha256.u_sha256_cfg.cfg_blk_base[31:0],00000000000000000000000000000000,After Primary Set/Reset,sha256.clk,sha256.rstn
15,sha256.u_sha256_cfg.cfg_blk_len[31:0],00000000000000000000000000000000,After Primary Set/Reset,sha256.clk,sha256.rstn
16,sha256.u_sha256_axir.ibuf_waddr[3:0],0000,After Primary Set/Reset,sha256.clk,sha256.rstn
17,sha256.u_sha256_flow_ctl.msg_dcnt[3:0],0000,After Primary Set/Reset,sha256.clk,sha256.rstn
